Alert_ID,Incident_ID,Alert_Level,Incident_Type,Severity,Object_ID,Object_Type,Confidence,Video_Time,Latitude,Longitude,Evidence,Alert_Time,Status
ALT_20260911001941785303,TEST001,CRITICAL,POTHOLE,HIGH,1,Road,0.95,00:01.00,23.83,80.39,test.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941785374,POT_3,WARNING,POTHOLE,MEDIUM,3,Road,0.865,00:00.88,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID3_00_00_88.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941785417,POT_13,WARNING,POTHOLE,MEDIUM,13,Road,0.881,00:01.36,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID13_00_01_36.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941785459,POT_14,WARNING,POTHOLE,MEDIUM,14,Road,0.904,00:01.44,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID14_00_01_44.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941785495,POT_17,WARNING,POTHOLE,MEDIUM,17,Road,0.679,00:01.64,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID17_00_01_64.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941785529,POT_18,CRITICAL,POTHOLE,HIGH,18,Road,0.609,00:02.56,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID18_00_02_56.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941785562,POT_19,CRITICAL,POTHOLE,HIGH,19,Road,0.653,00:02.72,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID19_00_02_72.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941785595,POT_22,INFORMATION,POTHOLE,LOW,22,Road,0.85,00:03.56,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID22_00_03_56.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941785627,POT_23,WARNING,POTHOLE,MEDIUM,23,Road,0.612,00:03.64,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID23_00_03_64.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941785660,POT_25,WARNING,POTHOLE,MEDIUM,25,Road,0.824,00:06.20,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID25_00_06_20.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941785692,POT_26,WARNING,POTHOLE,MEDIUM,26,Road,0.873,00:06.48,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID26_00_06_48.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941785724,POT_27,INFORMATION,POTHOLE,LOW,27,Road,0.724,00:07.32,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID27_00_07_32.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941785755,POT_30,WARNING,POTHOLE,MEDIUM,30,Road,0.834,00:08.32,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID30_00_08_32.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941785787,POT_39,CRITICAL,POTHOLE,HIGH,39,Road,0.771,00:12.24,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID39_00_12_24.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941785818,POT_46,WARNING,POTHOLE,MEDIUM,46,Road,0.842,00:17.24,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID46_00_17_24.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941785850,POT_50,CRITICAL,POTHOLE,HIGH,50,Road,0.884,00:17.60,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID50_00_17_60.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941785880,POT_61,WARNING,POTHOLE,MEDIUM,61,Road,0.85,00:19.40,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID61_00_19_40.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941785911,POT_63,WARNING,POTHOLE,MEDIUM,63,Road,0.858,00:20.12,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID63_00_20_12.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941785941,POT_64,WARNING,POTHOLE,MEDIUM,64,Road,0.905,00:20.24,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID64_00_20_24.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941785971,WRONG_4,CRITICAL,WRONG_WAY,HIGH,4,Car,0.71,00:03.04,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/wrong_way_ID4_00_03_04.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941786021,WRONG_7,CRITICAL,WRONG_WAY,HIGH,7,Motorcycle,0.634,00:05.04,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/wrong_way_ID7_00_05_04.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941786056,RASH_4_4,CRITICAL,RASH_DRIVING,HIGH,4,Car,0.82,00:00.13,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_4_4.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941786088,RASH_5_14,CRITICAL,RASH_DRIVING,HIGH,5,Car,0.79,00:00.47,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_5_14.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941786121,RASH_7_126,CRITICAL,RASH_DRIVING,HIGH,7,Motorcycle,0.78,00:04.20,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_7_126.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941786154,RASH_2_127,CRITICAL,RASH_DRIVING,HIGH,2,Car,0.85,00:04.24,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_2_127.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941786187,RASH_1_132,CRITICAL,RASH_DRIVING,HIGH,1,Bus,0.88,00:04.40,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_1_132.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941786220,RASH_6_188,CRITICAL,RASH_DRIVING,HIGH,6,Car,0.67,00:06.27,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_6_188.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941786253,RASH_9_201,CRITICAL,RASH_DRIVING,HIGH,9,Car,0.82,00:06.71,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_9_201.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941786284,RASH_10_203,CRITICAL,RASH_DRIVING,HIGH,10,Motorcycle,0.6,00:06.77,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_10_203.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941786316,RASH_11_217,CRITICAL,RASH_DRIVING,HIGH,11,Car,0.56,00:07.24,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_11_217.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941786348,RASH_4_4,CRITICAL,RASH_DRIVING,HIGH,4,Car,0.82,00:00.13,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_4_4.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941786381,RASH_5_14,CRITICAL,RASH_DRIVING,HIGH,5,Car,0.79,00:00.47,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_5_14.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941786413,RASH_7_126,CRITICAL,RASH_DRIVING,HIGH,7,Motorcycle,0.78,00:04.20,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_7_126.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941786445,RASH_2_127,CRITICAL,RASH_DRIVING,HIGH,2,Car,0.85,00:04.24,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_2_127.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941786480,RASH_1_132,CRITICAL,RASH_DRIVING,HIGH,1,Bus,0.88,00:04.40,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_1_132.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941786513,RASH_6_188,CRITICAL,RASH_DRIVING,HIGH,6,Car,0.67,00:06.27,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_6_188.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941786545,RASH_9_201,CRITICAL,RASH_DRIVING,HIGH,9,Car,0.82,00:06.71,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_9_201.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941786577,RASH_10_203,CRITICAL,RASH_DRIVING,HIGH,10,Motorcycle,0.6,00:06.77,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_10_203.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941786609,RASH_11_217,CRITICAL,RASH_DRIVING,HIGH,11,Car,0.56,00:07.24,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_11_217.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941786641,ROAD_alligator_crack_0_1,CRITICAL,ROAD_DAMAGE,HIGH,0,alligator_crack,0.57,00:00.04,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/alligator_crack_0_1.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941786686,ROAD_longitudinal_crack_1_1,CRITICAL,ROAD_DAMAGE,HIGH,1,longitudinal_crack,0.46,00:00.04,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/longitudinal_crack_1_1.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941786721,ROAD_pothole_0_18,WARNING,ROAD_DAMAGE,MEDIUM,0,pothole,0.59,00:00.72,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/pothole_0_18.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941786755,ROAD_pothole_1_19,INFORMATION,ROAD_DAMAGE,LOW,1,pothole,0.42,00:00.76,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/pothole_1_19.jpg,2026-09-11 00:19:41,NEW
ALT_20260911001941786790,ROAD_pothole_2_20,INFORMATION,ROAD_DAMAGE,LOW,2,pothole,0.31,00:00.80,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/pothole_2_20.jpg,2026-09-11 00:19:41,NEW
