Video_Time,Vehicle_Count,Cars,Motorcycles,Buses,Trucks,Bicycles,Congestion_Level
00:00.03,4,3,0,1,0,0,LOW
00:00.07,4,3,0,1,0,0,LOW
00:00.10,4,3,0,1,0,0,LOW
00:00.13,4,3,0,1,0,0,LOW
00:00.17,4,3,0,1,0,0,LOW
00:00.20,4,3,0,1,0,0,LOW
00:00.23,4,3,0,1,0,0,LOW
00:00.27,4,3,0,1,0,0,LOW
00:00.30,4,3,0,1,0,0,LOW
00:00.33,4,3,0,1,0,0,LOW
00:00.37,5,4,0,1,0,0,LOW
00:00.40,5,4,0,1,0,0,LOW
00:00.43,5,4,0,1,0,0,LOW
00:00.47,5,4,0,1,0,0,LOW
00:00.50,5,4,0,1,0,0,LOW
00:00.53,5,4,0,1,0,0,LOW
00:00.57,5,4,0,1,0,0,LOW
00:00.60,5,4,0,1,0,0,LOW
00:00.63,5,4,0,1,0,0,LOW
00:00.67,5,4,0,1,0,0,LOW
00:00.70,5,4,0,1,0,0,LOW
00:00.73,5,4,0,1,0,0,LOW
00:00.77,5,4,0,1,0,0,LOW
00:00.80,5,4,0,1,0,0,LOW
00:00.83,5,4,0,1,0,0,LOW
00:00.87,5,4,0,1,0,0,LOW
00:00.90,5,4,0,1,0,0,LOW
00:00.93,5,4,0,1,0,0,LOW
00:00.97,4,3,0,1,0,0,LOW
00:01.00,4,3,0,1,0,0,LOW
00:01.03,4,3,0,1,0,0,LOW
00:01.07,4,3,0,1,0,0,LOW
00:01.10,4,3,0,1,0,0,LOW
00:01.13,4,3,0,1,0,0,LOW
00:01.17,4,3,0,1,0,0,LOW
00:01.20,4,3,0,1,0,0,LOW
00:01.23,4,3,0,1,0,0,LOW
00:01.27,4,3,0,1,0,0,LOW
00:01.30,4,3,0,1,0,0,LOW
00:01.33,4,3,0,1,0,0,LOW
00:01.37,4,3,0,1,0,0,LOW
00:01.40,4,3,0,1,0,0,LOW
00:01.43,4,3,0,1,0,0,LOW
00:01.47,4,3,0,1,0,0,LOW
00:01.50,4,3,0,1,0,0,LOW
00:01.53,4,3,0,1,0,0,LOW
00:01.57,4,3,0,1,0,0,LOW
00:01.60,4,3,0,1,0,0,LOW
00:01.63,4,3,0,1,0,0,LOW
00:01.67,4,3,0,1,0,0,LOW
00:01.70,4,3,0,1,0,0,LOW
00:01.74,5,4,0,1,0,0,LOW
00:01.77,5,4,0,1,0,0,LOW
00:01.80,5,4,0,1,0,0,LOW
00:01.84,5,4,0,1,0,0,LOW
00:01.87,5,4,0,1,0,0,LOW
00:01.90,5,4,0,1,0,0,LOW
00:01.94,5,4,0,1,0,0,LOW
00:01.97,5,4,0,1,0,0,LOW
00:02.00,5,4,0,1,0,0,LOW
00:02.04,5,4,0,1,0,0,LOW
00:02.07,5,4,0,1,0,0,LOW
00:02.10,5,4,0,1,0,0,LOW
00:02.14,5,4,0,1,0,0,LOW
00:02.17,5,4,0,1,0,0,LOW
00:02.20,5,4,0,1,0,0,LOW
00:02.24,5,4,0,1,0,0,LOW
00:02.27,5,4,0,1,0,0,LOW
00:02.30,5,4,0,1,0,0,LOW
00:02.34,5,4,0,1,0,0,LOW
00:02.37,5,4,0,1,0,0,LOW
00:02.40,5,4,0,1,0,0,LOW
00:02.44,5,4,0,1,0,0,LOW
00:02.47,5,4,0,1,0,0,LOW
00:02.50,5,4,0,1,0,0,LOW
00:02.54,5,4,0,1,0,0,LOW
00:02.57,5,4,0,1,0,0,LOW
00:02.60,5,4,0,1,0,0,LOW
00:02.64,5,4,0,1,0,0,LOW
00:02.67,5,4,0,1,0,0,LOW
00:02.70,5,4,0,1,0,0,LOW
00:02.74,5,4,0,1,0,0,LOW
00:02.77,5,4,0,1,0,0,LOW
00:02.80,5,4,0,1,0,0,LOW
00:02.84,5,4,0,1,0,0,LOW
00:02.87,5,4,0,1,0,0,LOW
00:02.90,5,4,0,1,0,0,LOW
00:02.94,5,4,0,1,0,0,LOW
00:02.97,5,4,0,1,0,0,LOW
00:03.00,5,4,0,1,0,0,LOW
00:03.04,5,4,0,1,0,0,LOW
00:03.07,5,4,0,1,0,0,LOW
00:03.10,5,4,0,1,0,0,LOW
00:03.14,5,4,0,1,0,0,LOW
00:03.17,5,4,0,1,0,0,LOW
00:03.20,5,4,0,1,0,0,LOW
00:03.24,5,4,0,1,0,0,LOW
00:03.27,5,4,0,1,0,0,LOW
00:03.30,5,4,0,1,0,0,LOW
00:03.34,5,4,0,1,0,0,LOW
00:03.37,5,4,0,1,0,0,LOW
00:03.40,5,4,0,1,0,0,LOW
00:03.44,5,4,0,1,0,0,LOW
00:03.47,5,4,0,1,0,0,LOW
00:03.50,5,4,0,1,0,0,LOW
00:03.54,5,4,0,1,0,0,LOW
00:03.57,5,4,0,1,0,0,LOW
00:03.60,5,4,0,1,0,0,LOW
