Incident_ID,Type,Object_ID,Object_Type,Severity,Confidence,Video_Time,Latitude,Longitude,Evidence
TEST001,POTHOLE,1,Road,HIGH,0.95,00:01.00,23.83,80.39,test.jpg
POT_3,POTHOLE,3,Road,MEDIUM,0.865,00:00.88,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID3_00_00_88.jpg
POT_13,POTHOLE,13,Road,MEDIUM,0.881,00:01.36,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID13_00_01_36.jpg
POT_14,POTHOLE,14,Road,MEDIUM,0.904,00:01.44,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID14_00_01_44.jpg
POT_17,POTHOLE,17,Road,MEDIUM,0.679,00:01.64,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID17_00_01_64.jpg
POT_18,POTHOLE,18,Road,HIGH,0.609,00:02.56,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID18_00_02_56.jpg
POT_19,POTHOLE,19,Road,HIGH,0.653,00:02.72,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID19_00_02_72.jpg
POT_22,POTHOLE,22,Road,LOW,0.85,00:03.56,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID22_00_03_56.jpg
POT_23,POTHOLE,23,Road,MEDIUM,0.612,00:03.64,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID23_00_03_64.jpg
POT_25,POTHOLE,25,Road,MEDIUM,0.824,00:06.20,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID25_00_06_20.jpg
POT_26,POTHOLE,26,Road,MEDIUM,0.873,00:06.48,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID26_00_06_48.jpg
POT_27,POTHOLE,27,Road,LOW,0.724,00:07.32,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID27_00_07_32.jpg
POT_30,POTHOLE,30,Road,MEDIUM,0.834,00:08.32,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID30_00_08_32.jpg
POT_39,POTHOLE,39,Road,HIGH,0.771,00:12.24,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID39_00_12_24.jpg
POT_46,POTHOLE,46,Road,MEDIUM,0.842,00:17.24,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID46_00_17_24.jpg
POT_50,POTHOLE,50,Road,HIGH,0.884,00:17.60,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID50_00_17_60.jpg
POT_61,POTHOLE,61,Road,MEDIUM,0.85,00:19.40,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID61_00_19_40.jpg
POT_63,POTHOLE,63,Road,MEDIUM,0.858,00:20.12,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID63_00_20_12.jpg
POT_64,POTHOLE,64,Road,MEDIUM,0.905,00:20.24,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID64_00_20_24.jpg
WRONG_4,WRONG_WAY,4,Car,HIGH,0.71,00:03.04,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/wrong_way_ID4_00_03_04.jpg
WRONG_7,WRONG_WAY,7,Motorcycle,HIGH,0.634,00:05.04,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/wrong_way_ID7_00_05_04.jpg
