Pothole_ID,Severity,Confidence,Video_Time,Latitude,Longitude,Evidence_File
3,MEDIUM,0.865,00:00.88,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID3_00_00_88.jpg
13,MEDIUM,0.881,00:01.36,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID13_00_01_36.jpg
14,MEDIUM,0.904,00:01.44,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID14_00_01_44.jpg
17,MEDIUM,0.679,00:01.64,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID17_00_01_64.jpg
18,HIGH,0.609,00:02.56,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID18_00_02_56.jpg
19,HIGH,0.653,00:02.72,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID19_00_02_72.jpg
22,LOW,0.850,00:03.56,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID22_00_03_56.jpg
23,MEDIUM,0.612,00:03.64,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID23_00_03_64.jpg
25,MEDIUM,0.824,00:06.20,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID25_00_06_20.jpg
26,MEDIUM,0.873,00:06.48,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID26_00_06_48.jpg
27,LOW,0.724,00:07.32,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID27_00_07_32.jpg
30,MEDIUM,0.834,00:08.32,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID30_00_08_32.jpg
39,HIGH,0.771,00:12.24,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID39_00_12_24.jpg
46,MEDIUM,0.842,00:17.24,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID46_00_17_24.jpg
50,HIGH,0.884,00:17.60,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID50_00_17_60.jpg
61,MEDIUM,0.850,00:19.40,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID61_00_19_40.jpg
63,MEDIUM,0.858,00:20.12,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID63_00_20_12.jpg
64,MEDIUM,0.905,00:20.24,N/A,N/A,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/potholes/evidence/pothole_ID64_00_20_24.jpg
