Damage_ID,Damage_Type,Severity,Confidence,Video_Time,Evidence_File
0,alligator_crack,HIGH,0.57,00:00.04,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/alligator_crack_0_1.jpg
1,longitudinal_crack,HIGH,0.46,00:00.04,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/longitudinal_crack_1_1.jpg
0,pothole,MEDIUM,0.59,00:00.72,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/pothole_0_18.jpg
1,pothole,LOW,0.42,00:00.76,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/pothole_1_19.jpg
2,pothole,LOW,0.31,00:00.80,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/pothole_2_20.jpg
3,pothole,LOW,0.59,00:01.00,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/pothole_3_25.jpg
4,pothole,HIGH,0.3,00:01.00,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/pothole_4_25.jpg
5,pothole,MEDIUM,0.74,00:01.32,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/pothole_5_33.jpg
1,transverse_crack,LOW,0.35,00:02.20,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/transverse_crack_1_55.jpg
0,transverse_crack,MEDIUM,0.37,00:02.24,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/transverse_crack_0_56.jpg
8,pothole,HIGH,0.77,00:02.40,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/pothole_8_60.jpg
0,longitudinal_crack,HIGH,0.26,00:03.04,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/longitudinal_crack_0_76.jpg
18,pothole,MEDIUM,0.79,00:08.40,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/pothole_18_210.jpg
21,pothole,HIGH,0.61,00:14.76,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/pothole_21_369.jpg
22,longitudinal_crack,HIGH,0.72,00:16.68,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/longitudinal_crack_22_417.jpg
27,pothole,MEDIUM,0.86,00:17.24,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/pothole_27_431.jpg
31,pothole,MEDIUM,0.79,00:17.52,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/pothole_31_438.jpg
39,pothole,MEDIUM,0.75,00:19.36,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/pothole_39_484.jpg
41,pothole,MEDIUM,0.84,00:20.24,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/pothole_41_506.jpg
42,pothole,HIGH,0.79,00:20.68,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/pothole_42_517.jpg
0,alligator_crack,HIGH,0.57,00:00.04,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/alligator_crack_0_1.jpg
1,longitudinal_crack,HIGH,0.46,00:00.04,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/longitudinal_crack_1_1.jpg
0,pothole,MEDIUM,0.59,00:00.72,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/pothole_0_18.jpg
1,pothole,LOW,0.42,00:00.76,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/pothole_1_19.jpg
2,pothole,LOW,0.31,00:00.80,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/pothole_2_20.jpg
3,pothole,LOW,0.59,00:01.00,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/pothole_3_25.jpg
4,pothole,HIGH,0.3,00:01.00,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/pothole_4_25.jpg
5,pothole,MEDIUM,0.74,00:01.32,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/pothole_5_33.jpg
1,transverse_crack,LOW,0.35,00:02.20,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/transverse_crack_1_55.jpg
0,transverse_crack,MEDIUM,0.37,00:02.24,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/road_damage/evidence/transverse_crack_0_56.jpg
