Event_ID,Incident_ID,Incident_Type,Severity,Priority,Sync_Status,Timestamp
EDGE-TEST001,TEST001,POTHOLE,HIGH,2,SYNCED,2026-09-12 19:18:50
EDGE-RASH_7_126,RASH_7_126,RASH_DRIVING,HIGH,2,SYNCED,2026-09-12 19:18:50
EDGE-RASH_6_188,RASH_6_188,RASH_DRIVING,HIGH,2,SYNCED,2026-09-12 19:18:50
EDGE-WATER_1,WATER_1,WATERLOGGING,HIGH,2,SYNCED,2026-09-12 19:18:50
EDGE-ROAD_longitudinal_crack_1_1,ROAD_longitudinal_crack_1_1,ROAD_DAMAGE,HIGH,2,SYNCED,2026-09-12 19:18:50
EDGE-POT_50,POT_50,POTHOLE,HIGH,2,SYNCED,2026-09-12 19:18:50
EDGE-RASH_9_201,RASH_9_201,RASH_DRIVING,HIGH,2,SYNCED,2026-09-12 19:18:50
EDGE-WATER_126,WATER_126,WATERLOGGING,HIGH,2,SYNCED,2026-09-12 19:18:50
EDGE-ROAD_longitudinal_crack_0_76,ROAD_longitudinal_crack_0_76,ROAD_DAMAGE,HIGH,2,SYNCED,2026-09-12 19:18:50
EDGE-ROAD_longitudinal_crack_22_417,ROAD_longitudinal_crack_22_417,ROAD_DAMAGE,HIGH,2,SYNCED,2026-09-12 19:18:50
EDGE-RASH_10_203,RASH_10_203,RASH_DRIVING,HIGH,2,SYNCED,2026-09-12 19:18:50
EDGE-WATER_252,WATER_252,WATERLOGGING,HIGH,2,SYNCED,2026-09-12 19:18:50
EDGE-RASH_5_14,RASH_5_14,RASH_DRIVING,HIGH,2,SYNCED,2026-09-12 19:18:50
EDGE-WRONG_7,WRONG_7,WRONG_WAY,HIGH,2,SYNCED,2026-09-12 19:18:51
EDGE-WRONG_4,WRONG_4,WRONG_WAY,HIGH,2,SYNCED,2026-09-12 19:18:51
EDGE-POT_39,POT_39,POTHOLE,HIGH,2,SYNCED,2026-09-12 19:18:51
EDGE-ROAD_alligator_crack_0_1,ROAD_alligator_crack_0_1,ROAD_DAMAGE,HIGH,2,SYNCED,2026-09-12 19:18:51
EDGE-POT_19,POT_19,POTHOLE,HIGH,2,SYNCED,2026-09-12 19:18:51
EDGE-RASH_11_217,RASH_11_217,RASH_DRIVING,HIGH,2,SYNCED,2026-09-12 19:18:51
EDGE-ROAD_pothole_21_369,ROAD_pothole_21_369,ROAD_DAMAGE,HIGH,2,SYNCED,2026-09-12 19:18:51
EDGE-POT_18,POT_18,POTHOLE,HIGH,2,SYNCED,2026-09-12 19:18:51
EDGE-RASH_1_132,RASH_1_132,RASH_DRIVING,HIGH,2,SYNCED,2026-09-12 19:18:51
EDGE-ROAD_pothole_4_25,ROAD_pothole_4_25,ROAD_DAMAGE,HIGH,2,SYNCED,2026-09-12 19:18:51
EDGE-RASH_4_4,RASH_4_4,RASH_DRIVING,HIGH,2,SYNCED,2026-09-12 19:18:51
EDGE-ROAD_pothole_42_517,ROAD_pothole_42_517,ROAD_DAMAGE,HIGH,2,SYNCED,2026-09-12 19:18:51
EDGE-ROAD_pothole_8_60,ROAD_pothole_8_60,ROAD_DAMAGE,HIGH,2,SYNCED,2026-09-12 19:18:51
EDGE-RASH_2_127,RASH_2_127,RASH_DRIVING,HIGH,2,SYNCED,2026-09-12 19:18:51
EDGE-PEDESTRIAN_7_12_200,PEDESTRIAN_7_12_200,PEDESTRIAN_RISK,MEDIUM,3,SYNCED,2026-09-12 19:18:51
EDGE-ROAD_pothole_41_506,ROAD_pothole_41_506,ROAD_DAMAGE,MEDIUM,3,SYNCED,2026-09-12 19:18:51
EDGE-POT_46,POT_46,POTHOLE,MEDIUM,3,SYNCED,2026-09-12 19:18:51
EDGE-ROAD_pothole_0_18,ROAD_pothole_0_18,ROAD_DAMAGE,MEDIUM,3,SYNCED,2026-09-12 19:18:51
EDGE-POT_26,POT_26,POTHOLE,MEDIUM,3,SYNCED,2026-09-12 19:18:51
EDGE-POT_30,POT_30,POTHOLE,MEDIUM,3,SYNCED,2026-09-12 19:18:52
EDGE-POT_17,POT_17,POTHOLE,MEDIUM,3,SYNCED,2026-09-12 19:18:52
EDGE-ROAD_pothole_39_484,ROAD_pothole_39_484,ROAD_DAMAGE,MEDIUM,3,SYNCED,2026-09-12 19:18:52
EDGE-POT_61,POT_61,POTHOLE,MEDIUM,3,SYNCED,2026-09-12 19:18:52
EDGE-PEDESTRIAN_14_15_332,PEDESTRIAN_14_15_332,PEDESTRIAN_RISK,MEDIUM,3,SYNCED,2026-09-12 19:18:52
