Vehicle_ID,Vehicle_Type,Violation,Video_Time,Evidence_File
4,Car,RASH_DRIVING,00:00.13,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_4_4.jpg
5,Car,RASH_DRIVING,00:00.47,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_5_14.jpg
7,Motorcycle,RASH_DRIVING,00:04.20,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_7_126.jpg
2,Car,RASH_DRIVING,00:04.24,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_2_127.jpg
1,Bus,RASH_DRIVING,00:04.40,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_1_132.jpg
6,Car,RASH_DRIVING,00:06.27,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_6_188.jpg
9,Car,RASH_DRIVING,00:06.71,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_9_201.jpg
10,Motorcycle,RASH_DRIVING,00:06.77,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_10_203.jpg
11,Car,RASH_DRIVING,00:07.24,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_11_217.jpg
4,Car,RASH_DRIVING,00:00.13,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_4_4.jpg
5,Car,RASH_DRIVING,00:00.47,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_5_14.jpg
7,Motorcycle,RASH_DRIVING,00:04.20,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_7_126.jpg
2,Car,RASH_DRIVING,00:04.24,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_2_127.jpg
1,Bus,RASH_DRIVING,00:04.40,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_1_132.jpg
6,Car,RASH_DRIVING,00:06.27,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_6_188.jpg
9,Car,RASH_DRIVING,00:06.71,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_9_201.jpg
10,Motorcycle,RASH_DRIVING,00:06.77,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_10_203.jpg
11,Car,RASH_DRIVING,00:07.24,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_11_217.jpg
4,Car,RASH_DRIVING,00:00.13,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_4_4.jpg
5,Car,RASH_DRIVING,00:00.47,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_5_14.jpg
7,Motorcycle,RASH_DRIVING,00:04.20,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_7_126.jpg
2,Car,RASH_DRIVING,00:04.24,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_2_127.jpg
1,Bus,RASH_DRIVING,00:04.40,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_1_132.jpg
6,Car,RASH_DRIVING,00:06.27,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_6_188.jpg
9,Car,RASH_DRIVING,00:06.71,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_9_201.jpg
10,Motorcycle,RASH_DRIVING,00:06.77,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_10_203.jpg
11,Car,RASH_DRIVING,00:07.24,/Users/sushobhitpatel/Desktop/sih-urban-sensing/output/violations/rash_vehicle_11_217.jpg
